Sample_ID;Depth;Date;Core;Sample;Li;Be;Al;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Mo;Ag;Cd;Sn;Sb;Pb;U;Hg
RO_A1;0,5;2023;Roscoff;RO_A1;34,079;2,277;47650;59,908;49,924;295,7;18388;5,665;14,461;7,08;66,044;7,373;0,565;0,11;0,293;2,855;0,58;21,742;2,981;0,029
RO_A3;2,5;2021;Roscoff;RO_A3;42,562;2,156;51365;63,193;50,226;252,6;19345;5,988;16,654;9,268;79,729;8,728;1,533;0,107;0,346;3,131;0,643;24,592;2,43;0,032
RO_A6;5,5;2017;Roscoff;RO_A6;37,125;2,038;49516;59,754;47,892;276,6;18147;5,731;15,007;7,04;68,159;7,326;1,456;0,099;0,28;2,851;0,601;23,244;2,577;0,021
RO_A9;8,5;2014;Roscoff;RO_A9;43,638;2,372;49892;65,64;53,356;249,7;20049;6,048;17,478;10,408;79,632;8,842;1,382;0,123;0,304;3,443;0,811;26,187;2,643;0,033
RO_A12;11,5;2011;Roscoff;RO_A12;41,031;2,307;49066;60,984;52,389;249,4;18277;5,798;16,74;9,522;74,086;7,176;0,857;0,114;0,305;3,085;0,657;24,815;2,444;0,03
RO_A15;14,5;2008;Roscoff;RO_A15;42,079;2,132;49157;59,661;48,396;241,3;18432;5,721;15,68;8,837;72,343;6,012;1,187;0,11;0,297;3,106;0,599;24,403;2,33;0,026
RO_A17;16,5;2006;Roscoff;RO_A17;37,249;2,584;48468;57,131;45,195;259,8;17791;5,579;14,401;6,922;67,218;5,739;0,8;0,098;0,292;2,9;0,592;22,421;2,123;0,023
RO_A20;19,5;2003;Roscoff;RO_A20;38,474;2,311;49898;59,81;47,072;270,4;18123;5,724;14,965;7,733;67,643;5,789;0,767;0,109;0,289;2,958;0,611;23,231;2,506;0,025
RO_A23;22,5;1999;Roscoff;RO_A23;40,48;2,823;48903;59,434;48,567;248,8;18882;5,777;15,671;8,412;73,971;7,442;1,427;0,114;0,331;3,111;0,636;24,212;2,54;0,028
RO_A25;24,5;1997;Roscoff;RO_A25;40,67;2,369;48179;58,171;46,495;243;18476;5,615;15,192;8,14;72,027;5,981;1,452;0,111;0,328;3,045;0,612;23,717;2,38;0,028
RO_A27;26,5;1995;Roscoff;RO_A27;42,583;2,545;49323;59,718;48,344;241,1;19149;5,916;16,001;8,933;75,745;6,156;1,603;0,11;0,352;3,14;0,656;24,448;2,582;0,029
RO_A30;29,5;1992;Roscoff;RO_A30;40,596;2,394;48088;56,997;46,095;244;18309;5,508;15,002;7,98;71,591;6,492;2,878;0,115;0,347;3,058;0,677;23,571;2,986;0,027
RO_A33;32,5;1989;Roscoff;RO_A33;41,125;2,104;47216;56,955;45,449;232,9;18435;5,516;15,24;8,6;71,745;6,247;2,882;0,11;0,371;3,034;0,638;24,286;2,851;0,029
RO_A35;34,5;1987;Roscoff;RO_A35;40,597;2,225;46985;56,483;44,837;228;17791;5,391;14,608;8,234;70,412;5,555;1,759;0,11;0,306;3,005;0,644;24,047;2,597;0,028
RO_A37;36,5;1985;Roscoff;RO_A37;38,672;2,741;46679;55,073;45,241;242,8;17531;5,348;14,607;7,548;68,634;5,867;1,655;0,107;0,311;2,998;0,642;23,837;2,743;0,026
RO_A39;38,5;1982;Roscoff;RO_A39;39,565;2,162;48033;54,269;44,878;253;17153;5,367;14,129;6,957;66,012;5,224;1,593;0,11;0,303;3,335;0,574;24,351;2,763;0,025
RO_A41;40,5;1980;Roscoff;RO_A41;41,122;2,544;47344;54,065;44,896;239,7;17530;5,374;14,271;7,295;67,203;5,397;1,149;0,106;0,328;2,983;0,593;24,469;2,353;0,029
RO_A43;42,5;1978;Roscoff;RO_A43;40,612;2,081;47490;55,007;44,273;229,9;17494;5,495;14,597;7,378;65,659;4,688;0,879;0,1;0,267;2,995;0,565;25,074;2,121;0,025
RO_A45;44,5;1976;Roscoff;RO_A45;55,916;2,435;50948;69,081;55,013;228,5;22642;6,391;19,615;12,267;95,636;7,393;1,97;0,152;0,474;4,124;0,742;34,801;2,881;0,047
RO_A48;47,5;1973;Roscoff;RO_A48;38,914;2,105;47208;52,492;41,783;247,8;17113;5,308;13,613;6,13;64,342;4,458;0,788;0,098;0,314;3,006;0,539;23,127;2,103;0,03
