"id","type","weight"
"feature_6_v1","Taxonomy",-2.10622477531433
"feature_8_v1","Taxonomy",-1.6375983953476
"feature_11_v1","Taxonomy",1.67014265060425
"feature_19_v1","Taxonomy",1.81793200969696
"feature_3_v2","Metabolism",2.50833678245544
"feature_7_v2","Metabolism",1.69701981544495
"feature_9_v2","Metabolism",1.57298457622528
"feature_13_v2","Metabolism",1.66886007785797
"feature_15_v2","Metabolism",1.89955794811249
"feature_16_v2","Metabolism",1.73212444782257
"feature_17_v2","Metabolism",1.77278542518616
"feature_18_v2","Metabolism",1.95086276531219
"feature_19_v2","Metabolism",1.69569396972656
"feature_23_v2","Metabolism",1.5086315870285
"feature_29_v2","Metabolism",1.89096832275391
